Ventas;;;2020;2021;2022;2023;2024;2025;;;;;;;;;
;Part number;Catalog Type;;;;;;January;February;March;April;May;June;July;August;September;October
;AB24970001;INV;;;;;13;;;;;;;;;;
;AB2500P01;INV;124;94;111;101;59;10;2;1;-2;1;2;7;1;;
;AB2500P01;PKG;97;160;320;255;222;11;16;11;9;19;11;14;3;23;
;AB2501P01;INV;15;20;61;23;13;12;;;3;;;10;3;3;
;AB2501P01;PKG;54;63;68;75;25;4;7;3;9;2;;3;3;;
;AB25050001;INV;;;;6;31;;2;3;;;;;;5;
;AB25060001;INV;;;;;5;;;;;;;;;;
;AB25130001;INV;;;;17;49;2;;13;;;;10;;;
;AB25140001;INV;;;;37;63;;;;;;;;;;
;AB25150001;INV;;;;15;38;10;;;;;;;;;
;AB25180001;INV;;;;47;34;;;;;;;;;;
;AB25240001;INV;;;;;11;;;;;;;;;;
;AB25260001;INV;;;;;6;;;2;;;;;;;
;AB25460001;INV;;;;;6;;;;2;;;;;;
;AB256300-ASM01;INV;;;;;;;;;;;50;;;;
;AB25640001;INV;;;;;;;;;;;;;50;;
;AB25740001;INV;;;;20;122;;;;;15;;30;;15;
;AB2575-10501;INV;1;9;12;12;5;;;;;;;3;;3;
;AB2575-10701;INV;68;50;117;18;32;2;;1;1;1;4;3;;8;
;AB2575-12001;INV;27;50;63;23;17;4;3;;;1;;1;;1;
;AB2575-13501;INV;112;319;247;104;88;16;5;15;;7;14;7;9;10;
;AB2575-13701;INV;77;205;193;80;42;20;1;10;6;6;6;8;4;7;
;AB2575-21001;INV;1;2;;;;;;;;;;;;;
;AB25760001;INV;;;;;2;;;;;;;;;;
;AB25780001;INV;;;;22;46;;;;;;3;15;;;
;AB25790001;INV;;;;21;90;2;;14;14;;;15;;;
;AB25800001;INV;;;;25;49;;;;;;;;;;
;AB25810001;INV;;;;16;41;;;;;;;;;;
;AB25860001;INV;;;;12;33;8;;7;5;;10;7;;19;
;AB25870001;INV;;;;;;;;12;;;;;;;
;AB25890001;INV;;;;;6;;;;;;;;;;
;AB25910001;INV;;;;6;39;;1;;;;;;;;
;AB25960001;INV;;;;15;125;;;;;;;31;9;;
;AB25970001;INV;;;;;40;;;;;;;;;;
;AB26030001;INV;;;;;7;;;;;;;;;;
;AB26140001;INV;;;;;6;3;1;2;;;;;;;
;AB26150001;INV;;;;7;7;;;;;;;;;;
;AB26180001;INV;;;;6;28;;;;;;;;;;
;AB26200001;INV;;;;6;6;;;;;;;;;;
;AB26210001;INV;;;;;18;;;;;;;;;;
;AB26230001;INV;;;;6;206;10;13;;;7;;;10;;
;AB26340001;INV;;;;20;37;;;;10;;;;;;
;AB26360001;INV;;;;;7;;;;;;;;;;
;AB26410001;INV;;;;12;173;;;;;;;;;;
