Ventas;;;2020;2021;2022;2023;2024;2025;;;;;;;;;
;Part number;Catalog Type;;;;;;January;February;March;April;May;June;July;August;September;October
;AB910601;INV;108;163;194;140;68;35;6;4;3;8;4;3;12;12;
;AB910601;PKG;153;208;345;189;132;16;2;17;26;18;6;9;24;7;2
;AB9107SJ01;INV;;;2;;;;;;;;;;;;
;AB910801;INV;56;102;110;14;8;;;;;;;;;;
;AB910801;PKG;672;1080;1930;89;;;;;;;;;;;
;AB911601;INV;88;326;228;272;195;19;44;6;52;9;35;15;30;7;5
;AB911601;PKG;4837;7756;6029;6008;6726;242;313;275;419;528;855;203;313;589;44
;AB911701;INV;;;;;39;1;7;3;4;3;14;3;12;5;
;AB920101;INV;13;2;6;4;;;;;;;;;;;
;AB921301;INV;14;7;19;10;11;;2;;;;;;;;
;AB921301;PKG;;;;;10;;;;;;;;;;
;AB921401;INV;1;6;2;5;;;;;;;;;;;
;AB930901;INV;44;35;35;5;30;;;;;;5;;1;;
;AB930901;PKG;;;68;34;95;;;8;6;3;2;7;3;8;
;AB931001;INV;17;10;43;20;12;;;;4;1;1;6;1;1;
;AB931101;INV;70;38;47;43;8;;1;1;;;;;;8;
;AB931101;PKG;;5;29;;21;;;;;;;4;;;
;AB931201;INV;17;105;12;19;8;;2;;;;1;1;;;
;AB931501;INV;128;90;80;100;80;11;5;7;0;3;1;1;4;2;
;AB931501;PKG;89;115;261;234;196;11;12;10;2;17;10;14;3;19;
;AB931601;INV;11;45;30;16;32;;;;;1;;4;6;;
;AB931701;INV;24;19;13;26;6;;1;1;;;;;;1;
;AB932001;INV;21;20;18;19;9;;;;;1;;;;;
;AB950401;INV;33;29;24;13;8;;;1;2;;;;;1;
;AB9507SJ01;INV;;;2;;;;;;;;;;;;
;AB9510SJ01;INV;;;2;;;;;;;;;;;;
;ABA0000601;INV;;;;18;60;;;;;;;;;;
;ABA0002001;INV;;;;15;4;;;;;;;;;;
;ABA0002201;INV;;;;;8;;;;;;;3;;;
;ABA0002301;INV;;;;;2;;;5;;;;;;;
;ABA0002401;INV;;;;3;24;14;;;4;23;;20;;;
;ABA0002501;INV;;;;;13;30;24;;18;25;28;;;;
;ABA0002601;INV;;;;3;32;;;2;;;;;;;
;ABA0002701;INV;;;;;4;;;;;;;;;;
;ABA0002801;INV;;;;19;50;;;;5;6;;13;;;
;ABA0002901;INV;;;;25;104;20;;;;5;;15;;;
;ABA0005301;INV;;;;15;9;;;;3;;;;;;
;ABA0005401;INV;;;;21;68;;;;23;15;;10;10;;
;ABA0006701;INV;;;;3;4;;;;;;;;;;
;ABA0009201;INV;;;;;;;;;;;10;5;78;;
;ABA0009801;INV;;;;;;;;;;;;8;;30;
;ABA0013801;INV;;;;3;3;;;2;4;;;14;;;
;ABA0015701;INV;;;;6;32;17;;;;5;;;;;
;ABA0023301;INV;;;;;;;;;;71;;;39;163;
;ABA0031901;INV;;;;;15;;;;;;;;;;
;ABA0032201;INV;;;;;5;2;;;;;;;;;
;ABA0032401;INV;;;;18;15;2;;;;;;;;;
;ABA0032601;INV;;;;18;7;;;;;;;;;;
;ABA0033201;INV;;;;;;;;;;;;;;17;
;ABA0034201;INV;;;;;;;;;;;23;27;;;
;ABA0034601;INV;;;;14;133;;;;;;;;;;
;ABA0034701;INV;;;;6;89;;;;;;;;;;
;ABA0035301;INV;;;;;;;;10;;6;;23;;;
;ABA0036301;INV;;;;;;;;;;;;47;2;1;
;ABA0037501;INV;;;;;;;;;;;;34;36;;
;ABA0039801;INV;;;;;;;;;;;;10;;;
;ABA00457ASM01;INV;;;;;;;25;;;;41;;;;
;ABA0045901;INV;;;;;;;;;;;;10;;19;
;ABA0047101;INV;;;;;;;;;;;;;;5;
;ABA0047701;INV;;;;;120;;;;;;;;;;
;ABA0047901;INV;;;;;84;;9;;;;;;;;
;ABA00497ASM01;INV;;;;;;;;;;;50;;;;
;ABA0052601;INV;;;;;;;;;;;;10;5;;
;ABA0053501;INV;;;;;;;;;;;;;;20;
;ABA0054301;INV;;;;;124;40;;;;50;66;;;;
;ABA0057601;INV;;;;;;;;;;;;20;;23;
;ABA0059001;INV;;;;;93;44;;6;;10;21;;;6;
;ABA0080901;INV;;;;;;;;;;;;200;;;
;ABA0081201;INV;;;;;;;;;;;;250;;;
;ABA0082101;INV;;;;;;;;;;;;200;;;
;ABA0082201;INV;;;;;;;;;;;;250;;;
;ABA0084601;INV;;;;;;;;;;;;;;50;
;ABA0087401;INV;;;;;;;;;;;17;;;;
;ABA0088601;INV;;;;;;;;;;;77;;;;
;ABA0088701;INV;;;;;;;;;;;27;;5;;
;ABA0088901;INV;;;;;;;;;;;96;;;;
;ABA0089801;INV;;;;;;;;;;;24;;;;
;ABA0090101;INV;;;;;;;;;;;;;50;107;
;ABA0090701;INV;;;;;;;;;;;;;;136;
;ABA0091401;INV;;;;;;;;;;;;;;237;
;ABA0093101;INV;;;;;;;;;;;;;;19;
;ABA0093201;INV;;;;;;;;;;;;;;15;
;ABA0093401;INV;;;;;;;;;;;;;;18;
;ABA1000401;INV;;;;81;226;;37;;;;;;;;
;ABA1001901;INV;;;;16;42;11;;;10;;3;15;;;
;ABA1002301;INV;;;;8;59;;;;;;;;;;
;ABA1002401;INV;;;;13;41;;;5;;;;;;;
;ABA1002601;INV;;;;19;75;;;2;;;4;;;10;
;ABA2000301;INV;;;;401;1506;143;259;28;;280;210;;;;
;ABA2001801;INV;;;;9;37;5;;3;;;;2;;;
;ABA2001901;INV;;;;456;1574;;;;135;;;;;;
;ABA4002101;INV;;;;33;190;14;3;;16;;10;;;;
;ABA4004801;INV;;;;23;40;;;;;;;;;;
;ABA4005201;INV;;;;;;;;;;;;;;50;
;ABA5000-593701;INV;;;-2;1;;;;;;;;;;;
;ABA5000-593701;PKG;5;2;8;3;;;;;;;;;;;
;ABA9009-000101;INV;226;314;318;238;164;10;13;9;9;2;15;16;10;23;4
;ABA9009-000101;PKG;289;297;276;206;237;15;14;10;14;5;10;14;7;7;2
;ABA9009-000201;INV;377;387;453;292;281;18;14;14;14;5;26;12;6;1;4
;ABA9009-000201;PKG;304;331;312;219;239;15;15;10;14;6;10;14;7;7;2
;ABA9009-000301;INV;270;227;279;219;232;11;20;16;10;3;16;6;;9;4
;ABA9009-000401;INV;-5;-3;-5;5;2;;;;;;;;;;
;ABA9009-000401;PKG;56;49;47;38;11;;1;;;;;1;;;
;ABA9009-000501;INV;47;4;-7;7;3;;;;3;;;;;;
;ABA9009-000501;PKG;94;3;;;;;;;;;;;;;
;ABA9009-000601;INV;12;-2;-10;;-1;;;;;;;;;;
;ABA9009-000601;PKG;94;3;;;;;;;;;;;;;
;ABA9009-000701;INV;9;3;37;75;58;3;4;3;4;5;8;2;1;7;1
;ABA9009-000701;PKG;114;341;362;298;288;16;24;13;15;2;18;8;13;14;6
;ABA9009-000801;INV;6;4;11;10;9;;;;4;-1;1;;;;
;ABA9009-000801;PKG;114;343;362;298;291;16;24;13;15;2;18;8;13;14;6
;ABA9009-100501;INV;;4;11;1;4;;;;;;;;;;
;ABA9009-100501;PKG;6;63;133;67;149;15;31;24;15;5;18;26;26;12;8
;ABA9009-208601;INV;;;122;152;250;20;19;15;20;12;11;16;14;3;11
;ABA9009-208601;PKG;;;;3;;;;;;;;;;;
;ABA9009-500201;INV;4;-6;;;;;;;;;;;;;
;ABA9009-500201;PKG;64;59;14;13;2;;2;;2;;;;;;
;ABA9009-500301;INV;138;211;183;155;114;5;26;6;3;2;5;15;5;3;
;ABA9009-500301;PKG;359;364;335;245;250;15;15;10;16;5;10;15;7;7;2
;ABA9010-000401;INV;-1;-2;1;1;0;;;;;;;;;;
;ABA9010-000401;PKG;84;65;56;70;37;2;1;5;2;;2;;1;2;
;ABA9010-000501;INV;;0;2;;7;3;;-3;;;;-1;;;
;ABA9010-000501;PKG;180;129;120;108;103;12;17;5;5;14;7;11;;2;
;ABA9010-000601;INV;0;-1;7;-7;1;;2;;;1;;;;;
;ABA9010-000601;PKG;175;284;318;286;147;2;11;16;2;8;15;13;;7;6
;ABA9010-001001;INV;1;3;7;;;;;;;1;;;;;
;ABA9010-001001;PKG;441;478;433;5;;;;;;;;;;;
;ABA9010-001101;INV;171;192;142;;;;;;;;;;;;
;ABA9010-001201;INV;24;27;13;;;;;;;;;;;;
;ABA9010-001301;PKG;;;;;1;;;;;;;;;;
;ABA9010-001401;PKG;;;;;;;;;;;5;;;;
;ABA9010-001501;INV;;;7;14;8;3;2;-3;;;7;3;;;
;ABA9010-001501;PKG;;;61;459;288;16;29;26;9;22;29;24;1;11;6
;ABA9010-001601;INV;;;17;214;101;3;7;5;5;;13;7;6;7;
;ABA9010-001701;INV;;;;18;18;;;;;;;4;;;
;ABA9010-102401;INV;79;93;84;150;59;;0;3;5;;1;7;1;;
;ABA9010-102501;INV;180;152;122;141;96;7;12;11;8;;8;6;;4;
;ABA9010-104301;INV;5;6;;4;;;;;;;;;;;
;ABA9010-104501;INV;28;42;36;6;20;;4;1;3;;;;;;
;ABA9010-104601;INV;19;19;20;32;8;;0;;;;;;;;
;ABA9010-104801;INV;10;7;4;6;5;;;;;;3;;;;
;ABA9010-105301;INV;41;12;14;53;17;;;9;9;;2;;4;;
;ABA9010-200101;INV;100;136;159;128;168;11;5;16;16;5;15;10;14;19;
;ABA9010-200101;PKG;436;479;492;494;317;23;40;27;20;22;25;24;3;13;6
;ABA9010-202201;INV;10;9;11;7;;;;;;;;;4;;
;ABA9010-209001;INV;2;;10;;3;;0;;;;;;;;
;ABA9010-209001;PKG;;;2;;;;;;;;;;;;
;ABA9010-212601;INV;;;8;13;7;;;;;;;;;;
;ABA9010-498001;INV;-1;-6;;-13;-3;1;;-3;;;;;;;
;ABA9010-498001;PKG;519;544;627;531;369;22;35;31;18;46;42;29;;13;6
;ABA9011-000101;INV;-2;0;7;-2;-4;;1;;;;;;;;
;ABA9011-000101;PKG;61;94;83;57;19;;3;;11;5;11;;;;
;ABA9011-000201;INV;;0;4;0;;;1;;;;;;;;
;ABA9011-000201;PKG;73;65;81;69;44;10;8;7;;15;9;3;;4;
;ABA9011-000301;INV;;-1;-2;;2;;;;;;;;;;
;ABA9011-000301;PKG;50;44;36;39;26;1;;4;1;;5;;;;
;ABA9011-000601;INV;-1;0;1;-8;1;;;;;;1;8;;;
;ABA9011-000601;PKG;52;70;135;178;107;;3;3;;3;1;9;;;
;ABA9011-000701;INV;-4;-2;-2;-3;-2;;;;;;;4;;-1;
;ABA9011-000701;PKG;69;84;113;70;45;7;8;13;;1;7;8;;7;6
;ABA9011-000801;INV;-6;-5;-1;-3;5;1;1;-3;;;;2;-1;;
;ABA9011-000801;PKG;136;82;119;63;90;3;12;3;5;22;3;9;;;
;ABA9011-000901;INV;-3;1;;-1;;;;;;;2;;;;
;ABA9011-000901;PKG;55;20;22;25;23;;1;1;1;;6;;;;
;ABA9011-001101;PKG;2;2;3;;6;;;;;;;;;;
;ABA9011-001201;INV;-1;;;;-1;;;;;;;;;;
;ABA9011-001201;PKG;1;1;1;15;;;;;;;;;;;
;ABA9011-001301;PKG;;2;;;;;;;;;;;;;
;ABA9011-001601;INV;1;-1;;-1;1;;;;;;;;;;
;ABA9011-001601;PKG;9;19;12;1;;;;;;;;;;;
;ABA9011-001701;INV;1;;;;1;;-1;;;;;;;;
;ABA9011-001701;PKG;2;34;6;6;;;;;;;;;;;
;ABA9011-001801;PKG;2;2;;;;;;;;;;;;;
;ABA9011-001901;PKG;;1;;;;;;;;;;;;;
;ABA9011-100101;INV;;1;2;1;;;;;;;;;;;
;ABA9011-100201;INV;2;4;;14;;;;;;;;;;;
;ABA9011-100301;INV;;3;2;8;;;;;;;;;;;
;ABA9011-100401;INV;;0;1;;;;;;;;;;;;
;ABA9011-100601;INV;243;249;284;310;220;10;14;15;9;1;6;9;;3;
;ABA9011-101601;INV;;;;;;;;;13;;13;4;;;
;ABA9012-000101;INV;-4;;;;;;;;;;;;;;
;ABA9012-000101;PKG;20;19;;;;;;;;;;;;;
;ABA9012-000301;INV;-3;-1;;;;;;;;;;;;;
;ABA9012-000301;PKG;21;19;9;;;;;;;;;;;;
;ABA9012-001101;INV;;1;1;-1;1;;;;;;;;;;
;ABA9012-001101;PKG;;20;30;25;2;1;;;;;;;;;
;ABA9012-001301;INV;;;;1;-1;;;;;;;;;;
;ABA9012-001301;PKG;;;9;12;18;1;;;;;;;1;;
;ABA9990-101401;INV;181;213;219;144;133;11;7;12;11;8;12;15;11;10;1
;ABB-3073-10001;INV;103;74;94;97;109;3;11;11;6;1;1;3;6;5;
;ABB-3074-10001;INV;98;104;110;124;118;3;3;11;4;2;3;1;7;4;
;ABBKT-DIRECT/SSP1701;INV;;;;-2;;;;;;;;;;;
;ABBKT-DIRECT/SSP1701;PKG;1;9;5;1;;;;;;;;;;;
;ABBKT-GP01;INV;4;5;1;;;;;;;;;;;;
;ABBKT-GP01;PKG;10;21;6;1;;;;;;;;;;;
;ABBKT-HDTUBE01;INV;8;11;15;1;1;;;;;;1;;;;
;ABBKT-HDTUBE01;PKG;93;183;109;59;16;1;;;1;;;;;;
;ABBKT-MONTUBE01;INV;9;9;11;1;8;;;;;;;;;;
;ABBKT-MONTUBE01;PKG;91;182;109;59;16;1;;;1;;;;;;
;ABBKT-PP01;INV;4;11;10;-1;5;;;;;;;;;;
;ABBKT-PP01;PKG;79;151;96;49;14;1;;;1;;;;;;
;ABBKT-RODS01;INV;;-1;;1;;;;;;;;;;;
;ABBKT-RODS01;PKG;4;11;7;9;2;;;;;;;;;;
;ABBKT-STE/GP01;INV;2;;;;;;;;;;;;;;
;ABBKT-STE/PP01;INV;;;;2;;;;;;;;;;;
;ABBKT-TABLET/00501;INV;1;;;;;;;;;;;;;;
;ABBKT-TABLET/00501;PKG;13;12;9;6;;;;;;;;;;;
;ABC1221-000101;INV;21;32;47;18;16;;2;;;;;;1;1;
;ABC1221-000101;PKG;6;16;29;11;12;;;5;1;;2;;;1;
;ABC1221-000201;INV;36;37;60;23;23;;;5;;4;2;3;;2;
;ABC1221-000301;INV;15;54;58;59;20;;2;;1;2;;1;;;
;ABC1221-000301;PKG;9;42;69;54;23;3;;2;2;;1;2;;1;
;ABC1221-000401;INV;21;77;97;107;37;5;2;;1;1;;2;;;
;ABC1221-000401;PKG;;10;;;;;;;;;;;;;
;ABC1222-001501;INV;94;199;229;206;77;5;7;6;3;7;3;6;;;
;ABC1222-001501;PKG;15;48;98;65;35;3;;7;3;;3;2;;2;
;ABC1225-000101;INV;2;1;3;3;;;;;;;;;;;
;ABC1225-000101;PKG;1;;;;;;;;;;;;;1;
;ABC1225-100701;INV;;;;1;3;;;;;;;2;;;
;ABC1225-101101;INV;0;0;0;;3;;;;;;;;;;
;ABC1225-102001;INV;3;;1;2;;;;;;;;;;;
;ABC1226-000101;INV;;;1;1;;;;;;;;;;;
;ABC1234-000501;PKG;7;;;;;;;;;;;;;;
;ABC1234-000601;INV;45;41;15;10;1;;1;;;;-9;;;;
;ABC1234-000601;PKG;173;518;555;204;151;7;7;5;6;1;5;1;;4;
;ABC1234-000701;INV;41;3;2;-3;2;;;1;;;-9;2;;;
;ABC1234-000701;PKG;293;778;808;397;267;16;14;10;14;5;11;3;1;10;
;ABC1234-101701;INV;67;104;87;83;58;5;;5;6;2;1;4;3;2;
;ABC1234-101801;INV;41;109;136;82;72;12;1;2;3;1;9;4;7;5;
;ABC1234-207701;INV;;;6;2;2;;;;;;;;;;
;ABC1237-000101;PKG;2;;;;;;;;;;;;;;
;ABC1237-101501;INV;21;40;40;45;22;;4;1;3;;2;4;4;;
;ABC1239-000101;INV;5;;;;;;;;;;;;;;
;ABC1241-110001;INV;;2;;1;;;;;;;;;;;
;ABC1241-152001;INV;3;;1;;;;;;;;;;;;
;ABC1241-154001;INV;3;2;2;2;;;;;;;;;;;
;ABC1241-160001;INV;2;1;;;;;;;;;;;;;
;ABC1241-170001;INV;1;1;1;;;;;;;;;;;;
;ABC1241-185001;INV;;1;;;;;;;;;;;;;
;ABC1241-190001;INV;;;;;1;;0;;;;;;;;
;ABC1242-000101;INV;-1;;;;;;;;;;;;;;
;ABC1242-100101;INV;-1;1;3;;;;;;;;;;;;
;ABC1243-000101;INV;4;1;3;;;;;;;;;;;;
;ABC1243-000201;INV;;3;;;;;;;;;;;;;
;ABC1243-110701;INV;4;10;;;;;;;;;;;;;
;ABC1243-111601;INV;1;;-1;;;;;;;;;;;;
;ABC1243-111701;INV;-1;1;2;;7;;;;;;;;;;
;ABC1243-112201;INV;3;1;3;1;;;;;;;;;;;
;ABC1243-112301;INV;5;3;3;4;;;;;;;;;1;;
;ABC1243-112401;INV;;;4;;;;;;;;;;;;
;ABC1243-112501;INV;9;7;3;10;4;;;;;;;1;;;
;ABC1243-112601;INV;2;1;9;;;;;;;;;;;;
;ABC1243-112801;INV;2;2;1;;;;;;;;;;;;
;ABC1243-112901;INV;1;1;0;;;;;;;;;;;;
;ABC1243-113101;INV;3;2;1;;;;;;;;;;;;
;ABC1243-214901;INV;12;15;4;1;2;1;;;;;;;;;
;ABC1243-217101;INV;-2;;;;;;;;;;;;;;
;ABC1243-217201;INV;4;4;2;2;1;;;;;;;1;;;
;ABC1243-217301;INV;1;;2;1;1;;;;;;;;;;
;ABC1243-218301;INV;;1;;;;;;;;;;;;;
;ABC1244-000101;INV;1;1;;;;;;;;;;;;;
;ABC1244-000201;INV;;2;;;;;;;;;;;;;
;ABC1244-100101;INV;1;1;;;;;;;;;;;;;
;ABC1244-100201;INV;1;1;1;;;;;;;;;;;;
;ABC1244-100301;INV;7;10;3;;2;;;2;;;;;;2;
;ABC1245-100101;INV;5;;;;;;;;;;;;;;
;ABC1245-204001;INV;2;2;7;;;;;;;;;;;;
;ABC1245-204101;INV;;;18;2;;;;;;;;;;;
;ABC1248-100101;INV;12;21;25;10;18;;1;;;;;1;;2;
;ABC1250-000101;INV;21;41;48;31;17;2;;2;;;1;1;2;;
;ABC1250-000201;INV;48;56;69;63;47;5;4;1;3;;1;1;2;3;3
;ABC1250-000301;INV;9;7;34;29;7;;;1;;;1;;;1;
;ABC1251-000101;INV;59;88;77;13;13;;;;;;;;1;;2
;ABC1251-000101;PKG;2;;;7;31;2;10;7;2;4;3;2;3;4;
;ABC1252-000101;INV;66;117;139;42;30;;;2;1;;;1;1;;2
;ABC1252-000101;PKG;23;18;37;32;38;6;5;7;2;3;3;1;1;4;
;ABC1255-000101;INV;12;29;87;13;10;;;1;4;1;;;;1;
;ABC1255-000101;PKG;25;23;39;53;28;5;2;2;2;;1;1;;3;
;ABC1255-000201;INV;8;15;28;5;12;;;;;;;1;;1;
;ABC1255-000201;PKG;20;11;23;17;6;3;1;;2;;;;1;;
;ABC1257-000101;INV;2;;4;;;;;;;;;;;;
;ABC1257-100201;INV;19;33;3;1;;;;;;;;;;;
;ABC1257-100301;INV;1;;;;;;;;;;;;;;
;ABC1257-100401;INV;1;;-1;;;;;;;;;;;;
;ABC1258-000101;INV;17;19;27;15;24;5;;1;1;1;1;2;2;;1
;ABC1258-000101;PKG;25;16;27;45;27;4;8;2;4;1;1;2;3;3;
;ABC1260-000101;PKG;22;;;;;;;;;;;;;;
;ABC1260-000201;INV;18;2;8;6;7;;;;;;;;;;
;ABC1260-000201;PKG;120;260;253;193;115;9;7;5;8;4;6;2;1;6;
;ABC1261-000101;INV;16;8;20;13;14;;2;;4;;;;;;2
;ABC1262-000201;INV;1;13;18;13;8;1;;;1;;3;2;;1;
;ABC1264-000101;INV;218;70;221;393;46;2;3;2;2;3;154;1;2;2;
;ABC1265-000101;INV;103;154;140;55;33;7;1;3;6;1;3;4;2;6;2
;ABC1265-000101;PKG;120;172;267;102;110;8;11;10;4;8;15;4;12;24;
;ABC1266-000101;INV;-2;;-2;-10;-1;;;;;;;;;;
;ABC1266-000101;PKG;157;199;297;107;98;7;3;5;2;5;13;2;9;22;
;ABC1267-000101;INV;75;98;136;66;37;;1;3;4;;3;;2;7;
;ABC1267-000101;PKG;;;;;6;;1;1;;;4;;;2;
;ABC1268-000101;INV;21;20;35;14;14;;2;1;3;;;;;1;
;ABC1268-000101;PKG;;;;;44;6;;2;2;4;8;2;9;18;
;ABC1275-000201;INV;;;;;;;;;;;1;1;;;-5
;ABC1275-000201;PKG;;;;;35;1;2;11;7;11;7;4;2;10;
;ABC1275-000701;INV;;;;;;;;;;;;;;;-5
;ABC1275-000701;PKG;;;;;35;1;2;11;7;11;7;4;2;10;
;ABC1275-101001;INV;;;;;8;1;;5;1;;;3;3;;
;ABC1504-100001;INV;188;238;283;136;120;2;1;5;3;9;7;;5;8;
;ABCAB-EXT/USB01;INV;8;14;4;5;;;;;;;;;;;
;ABCAB-MAINS01;INV;-1;0;;;;;;;;;;;;;
;ABCAB-MAINS01;PKG;100;167;126;17;3;;;;;;;;;1;
;ABCAB-PSU/00101;INV;4;;;1;;;;;;;;;;;
;ABCAB-PSU/00201;INV;1;;-1;;;;;;;;;;;;
;ABCAB-PSU/00201;PKG;42;52;24;;;;;;;;;;;;
;ABCAB-QBOX/00101;INV;-5;3;-2;;;;;;;;;;;;
;ABCAB-QBOX/00101;PKG;28;28;24;13;4;;;;;;;;;;
;ABCAB-VGA/00101;INV;-4;-1;-5;-4;;;;;;;;;;;
;ABCAB-VGA/00101;PKG;299;470;295;50;5;1;;;;;;;;1;
;ABCAB-VGA/00501;INV;;;-2;;;;;;;;;;;;
;ABCAB-VGA/00501;PKG;4;8;6;;;;;;;;;;;;
;ABCAS-ESPM/00301;INV;1;3;4;4;-1;;;;;;;;;;
;ABCAS-ESPM/00301;PKG;2;;2;10;10;2;1;;1;;;;1;6;
;ABCAS-LWA01;INV;1;1;;;;;;;;;;;;;
;ABCAS-MWA01;INV;1;1;;;;;;;;;;;;;
;ABCAS-SSP10/DSLR01;PKG;2;3;1;;;;;;;;;;;;
;ABCAS-SSP10B01;INV;3;9;7;3;1;;;;;;;;;;
;ABCAS-SSP10B01;PKG;48;53;32;2;;;;;;;;;;;
;ABCAS-SSP17/L01;INV;30;40;27;13;2;;;;;;;1;;;
;ABCAS-SSP17/L01;PKG;61;64;48;11;;;;;;;;;;;
;ABCLOCKPLUS-E01;INV;3;3;;;;;;;;;;;;;
;ABCON-2B/USB01;INV;14;15;18;17;5;1;1;1;;;;;;;
;ABCON-2B/USB01;PKG;26;24;20;13;;;;;;;;;;;
;ABCON-FC/SERIAL01;INV;2;;;;;;;;;;;;;;
;ABCON-FC/USB/00101;INV;44;44;36;25;41;3;1;2;;3;2;2;;;
;ABCON-FC/WIRELESS01;INV;12;35;6;3;3;;;;;;;;;;
;ABCON-FC/WIRELESS01;PKG;14;7;10;9;2;;;2;;;;;;;
;ABCON-IPAD01;INV;144;91;66;31;1;;;;;;;;;;
;ABCON-IPAD01;PKG;27;36;25;2;;;;;;;;;;;
;ABCON-IPAD/BLUETOOTH01;INV;19;28;3;5;5;;;;;;;;1;;
;ABCON-IPAD/BLUETOOTH01;PKG;23;26;8;1;;;;;;;;;;;
;ABCON-MB/USB01;INV;18;13;8;12;;;;;;;;;;;
;ABCON-MB/USB01;PKG;14;13;9;4;;;;;;;;;;;
;ABCON-MULTI/BOX01;INV;1;;;;;;;;;;;;;;
;ABCON-MULTI/USB01;INV;-1;;;;;;;;;;;;;;
;ABCON-SE01;INV;161;295;177;202;127;6;4;7;9;11;12;6;7;4;
;ABCON-SE01;PKG;100;118;84;29;10;2;1;;1;;;;1;6;
;ABCON-SP01;INV;8;14;8;4;6;;;;;;;;;;
;ABCON-SP01;PKG;14;15;15;9;4;;;;;;;;;;
;ABCON-WI01;INV;126;125;102;70;86;11;;;2;;16;;;12;
;ABCUE-DIGITALCUE01;INV;19;23;22;14;6;;;;;;;;;;
;ABCUE-MINI01;INV;5;;3;;0;;;;;;;;;;
;ABCUE-SEN01;INV;18;9;11;;2;;;;;;;;;;
;ABD200001;INV;2;;;;;;;;;;;;;;
;ABD200-20301;INV;-1;;;;;;;;;;;;;;
;ABD200-20301;PKG;9;16;7;2;;;;;;;;;;;
;ABDN-PLUG01;INV;1;;-1;1;;;;;;;;;;;
;ABDN-PLUG01;PKG;2;4;3;;;;;;;;;;;;
;ABDN-VGA/00201;INV;3;;-1;1;;;1;;;;;;;;
;ABDN-VGA/00201;PKG;2;4;3;;;;;;;;;;;;
;ABDN-VGA/00301;INV;;1;;;;;;;;;;;;;
;ABDN-VGA/00301;PKG;2;1;2;;;;;;;;;;;;
;ABEPIC19R-SDI2-ME01;INV;;;;;;1;;;;;;;;;
;ABESP-GLASS/00101;INV;2;5;5;7;-2;;;;;;;;;;
;ABESP-GLASS/00101;PKG;36;56;64;53;21;4;2;;;;;;;;
;ABESP-MAN/01101;INV;;;-1;1;-2;;;;;;;;;;
;ABESP-MAN/01101;PKG;36;57;64;53;21;4;2;;2;;;;2;12;
;ABESP-MAN/01201;INV;;;-1;1;-2;;;;;;;;;;
;ABESP-MAN/01201;PKG;36;57;64;53;21;4;2;;2;;;;2;12;
;ABF205601;INV;;;;1;;;;;;;;;;;
;ABFH-SE01;PKG;10;1;2;;;;;;;;;;;;
;ABFH-XWE01;INV;0;4;;0;-1;;;;;;;;;;
;ABFH-XWE01;PKG;73;74;168;80;95;11;7;3;;24;18;4;7;1;1
;ABG452-04401;INV;12;8;9;;;;;;;;;;;;
;ABG452-04401;PKG;9;16;7;2;;;;;;;;;;;
;ABGL-ESP01;INV;35;35;18;49;6;1;2;1;2;1;;;;1;
;ABGL-ESP01;PKG;46;63;80;82;31;6;3;;3;;;;3;18;
;ABGL-LWA01;INV;23;40;30;26;14;;6;;3;4;;3;;;
;ABGL-LWA01;PKG;28;70;49;30;14;;;;;;;;;;
;ABGL-MWA01;INV;60;69;51;30;25;1;1;2;1;2;;4;;1;
;ABGL-MWA01;PKG;346;555;334;77;7;2;;1;1;;;;;1;
;ABGL-SWA01;INV;59;61;45;20;27;;3;2;1;2;1;2;;1;
;ABGL-SWA01;PKG;165;173;93;21;7;1;;;;;;;;;
;ABGL-USSTANDARD01;INV;1;;;;;;;;;;;;;;
;ABHC-101;INV;2;1;;;;;;;;;;;;;
;ABHD-FH01;INV;1;1;2;1;;;;;;;;;;;
;ABHD-FH01;PKG;11;2;5;;;;;;;;;;;;
;ABHD-LWA01;INV;1;8;11;2;-1;;;;;;;;;;
;ABHD-LWA01;PKG;27;69;49;30;14;;;;;;;;;;
;ABHD-MWA01;INV;4;-1;2;-4;;;;;;;;;;;
;ABHD-MWA01;PKG;52;109;55;29;2;1;;;1;;;;;;
;ABMFC01;INV;2;;;;;;;;;;;;;;
;ABMH-GHK01;INV;3;6;1;;;;;;;;;;;;
;ABMH-GHK01;PKG;57;39;4;;;;;;;;;;;;
;ABMH-LWRI01;INV;;6;1;;;;;;;;;;;;
;ABMH-LWRI01;PKG;57;39;4;;;;;;;;;;;;
;ABMH-SIDEBKT01;INV;3;4;;;;;;;;;;1;;;
;ABMH-SIDEBKT01;PKG;54;39;4;;;;;;;;;;;;
;ABMH-SUP01;PKG;;2;2;;;;;;;;;;;;
;ABMH-SWRI01;PKG;;2;2;;;;;;;;;;;;
;ABMH-WUP01;INV;7;14;;;;;;;;;;;;;
;ABMH-WUP01;PKG;57;29;2;;;;;;;;;;;;
;ABMH-WWRI01;INV;2;6;1;;;;;;;;;;;;
;ABMH-WWRI01;PKG;55;37;2;;;;;;;;;;;;
;ABMJ-CPY01;INV;;;;2;;;;;;;;;;;
;ABMJ-PICO01;INV;1;;;;;;;;;;;;;;
;ABMON-FOCUS-OLED-SDI01;INV;-1;;;;;;;;;;;;;;
;ABMON-MSP/17SDI01;INV;6;12;9;-1;;;1;2;;;;;;;
;ABMON-MSP/17SDI01;PKG;32;60;40;;;;;;;;;;;;
